Entity,Code,Per capita plastic waste (kilograms per person per day),Per capita plastic waste (pounds per person per day),Per capita plastic waste (pounds per person per week)
Albania,ALB,0.069,0.15211878,1.06483146
Algeria,DZA,0.144,0.31746528,2.22225696
Angola,AGO,0.062,0.13668644,0.95680508
Anguilla,AIA,0.252,0.55556424,3.88894968
Antigua and Barbuda,ATG,0.66,1.4550492,10.1853444
Argentina,ARG,0.183,0.40344546,2.82411822
Aruba,ABW,0.252,0.55556424,3.88894968
Australia,AUS,0.112,0.24691744,1.72842208
Bahamas,BHS,0.39,0.8598018,6.0186126
Bahrain,BHR,0.132,0.29100984,2.03706888
Bangladesh,BGD,0.034,0.07495708,0.52469956
Barbados,BRB,0.57,1.2566334,8.7964338
Belgium,BEL,0.08,0.1763696,1.2345872
Belize,BLZ,0.172,0.37919464,2.65436248
Benin,BEN,0.043,0.09479866,0.66359062
Bermuda,BMU,0.252,0.55556424,3.88894968
Bosnia and Herzegovina,BIH,0.144,0.31746528,2.22225696
Brazil,BRA,0.165,0.3637623,2.5463361
British Virgin Islands,VGB,0.252,0.55556424,3.88894968
Brunei,BRN,0.026,0.05732012,0.40124084
Bulgaria,BGR,0.154,0.33951148,2.37658036
Cambodia,KHM,0.066,0.14550492,1.01853444
Cameroon,CMR,0.046,0.10141252,0.70988764
Canada,CAN,0.093,0.20502966,1.43520762
Cape Verde,CPV,0.065,0.1433003,1.0031021
Cayman Islands,CYM,0.252,0.55556424,3.88894968
Channel Islands,OWID_CIS,0.252,0.55556424,3.88894968
Chile,CHL,0.119,0.26234978,1.83644846
China,CHN,0.121,0.26675902,1.86731314
Christmas Island,CXR,0.252,0.55556424,3.88894968
Cocos Islands,CCK,0.252,0.55556424,3.88894968
Colombia,COL,0.144,0.31746528,2.22225696
Comoros,COM,0.201,0.44312862,3.10190034
Congo,COG,0.069,0.15211878,1.06483146
Cook Islands,COK,0.144,0.31746528,2.22225696
Costa Rica,CRI,0.258,0.56879196,3.98154372
Cote d'Ivoire,CIV,0.103,0.22707586,1.58953102
Croatia,HRV,0.252,0.55556424,3.88894968
Cuba,CUB,0.089,0.19621118,1.37347826
Curacao,CUW,0.252,0.55556424,3.88894968
Cyprus,CYP,0.248,0.54674576,3.82722032
Democratic Republic of Congo,COD,0.045,0.0992079,0.6944553
Denmark,DNK,0.047,0.10361714,0.72531998
Djibouti,DJI,0.103,0.22707586,1.58953102
Dominica,DMA,0.149,0.32848838,2.29941866
Dominican Republic,DOM,0.144,0.31746528,2.22225696
Ecuador,ECU,0.147,0.32407914,2.26855398
Egypt,EGY,0.178,0.39242236,2.74695652
El Salvador,SLV,0.147,0.32407914,2.26855398
Equatorial Guinea,GNQ,0.144,0.31746528,2.22225696
Eritrea,ERI,0.045,0.0992079,0.6944553
Estonia,EST,0.176,0.38801312,2.71609184
Faeroe Islands,FRO,0.252,0.55556424,3.88894968
Falkland Islands,FLK,0.252,0.55556424,3.88894968
Fiji,FJI,0.189,0.41667318,2.91671226
Finland,FIN,0.234,0.51588108,3.61116756
France,FRA,0.192,0.42328704,2.96300928
French Guiana,GUF,0.144,0.31746528,2.22225696
French Polynesia,PYF,0.252,0.55556424,3.88894968
Gabon,GAB,0.054,0.11904948,0.83334636
Gambia,GMB,0.048,0.10582176,0.74075232
Georgia,GEO,0.068,0.14991416,1.04939912
Germany,DEU,0.485,1.0692407,7.4846849
Ghana,GHA,0.04,0.0881848,0.6172936
Gibraltar,GIB,0.252,0.55556424,3.88894968
Greece,GRC,0.2,0.440924,3.086468
Greenland,GRL,0.252,0.55556424,3.88894968
Grenada,GRD,0.325,0.7165015,5.0155105
Guadeloupe,GLP,0.144,0.31746528,2.22225696
Guam,GUM,0.252,0.55556424,3.88894968
Guatemala,GTM,0.28,0.6172936,4.3210552
Guernsey,GGY,0.252,0.55556424,3.88894968
Guinea,GIN,0.03,0.0661386,0.4629702
Guinea-Bissau,GNB,0.054,0.11904948,0.83334636
Guyana,GUY,0.586,1.29190732,9.04335124
Haiti,HTI,0.09,0.1984158,1.3889106
Honduras,HND,0.189,0.41667318,2.91671226
Hong Kong,HKG,0.398,0.87743876,6.14207132
Iceland,ISL,0.281,0.61949822,4.33648754
India,IND,0.01,0.0220462,0.1543234
Indonesia,IDN,0.057,0.12566334,0.87964338
Iran,IRN,0.144,0.31746528,2.22225696
Iraq,IRQ,0.103,0.22707586,1.58953102
